"","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"1",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.44,NA,1
"2",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.56,NA,1
"3",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.62,NA,1
"4",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.35,NA,1
"5",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.57,NA,1
"6",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.440652992,1
"7",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.456024608,1
"8",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.463710416,1
"9",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.42912428,1
"10",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.457305576,1
"11",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.41,NA,1
"12",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.32,NA,1
"13",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.32,NA,1
"14",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.32,NA,1
"15",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.3,NA,1
"16",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.641556388,1
"17",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.632548576,1
"18",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.632548576,1
"19",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.632548576,1
"20",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.63054684,1
"21",3,"ME204",0.25,10,"A","A",NA,"XXX",14.83,NA,1
"22",3,"ME204",0.25,10,"A","A",NA,"XXX",14.79,NA,1
"23",3,"ME204",0.25,10,"A","A",NA,"XXX",14.81,NA,1
"24",3,"ME204",0.25,10,"A","A",NA,"XXX",14.88,NA,1
"25",3,"ME204",0.25,10,"A","A",NA,"XXX",14.95,NA,1
"26",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.831627842,1
"27",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.829384746,1
"28",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.830506294,1
"29",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.834431712,1
"30",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.83835713,1
"31",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.6,NA,2
"32",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.64,NA,2
"33",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.68,NA,2
"34",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.42,NA,2
"35",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.59,NA,2
"36",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.3825,2
"37",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.3605,2
"38",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.3785,2
"39",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.3789,2
"40",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.3851,2
"41",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.58,NA,2
"42",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.37,NA,2
"43",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.38,NA,2
"44",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.41,NA,2
"45",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.35,NA,2
"46",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.578,2
"47",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.5649,2
"48",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.5751,2
"49",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.5796,2
"50",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.5739,2
"51",3,"ME204",0.25,10,"A","A",NA,"XXX",14.84,NA,2
"52",3,"ME204",0.25,10,"A","A",NA,"XXX",14.86,NA,2
"53",3,"ME204",0.25,10,"A","A",NA,"XXX",14.85,NA,2
"54",3,"ME204",0.25,10,"A","A",NA,"XXX",14.93,NA,2
"55",3,"ME204",0.25,10,"A","A",NA,"XXX",15.04,NA,2
"56",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.7975,2
"57",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.8076,2
"58",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.7996,2
"59",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.8046,2
"60",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.79,2
"61",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.34,NA,3
"62",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.47,NA,3
"63",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.61,NA,3
"64",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.3,NA,3
"65",0.6,"ME204",0.05,10,"A","A",NA,"XXX",3.45,NA,3
"66",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.3325,3
